"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-VARPA_RS21420",3339.04774162044,-0.234168595560024,0.220897315801273,-1.06007895438028,0.289108681383166,0.798400881517707
"gene-VARPA_RS25050",4235.58737796468,-0.0706623099109951,0.168771851108935,-0.418685399530195,0.675446067550431,0.943759741874547
"gene-VARPA_RS13165",471.687167475489,-0.0815713346287282,0.206005226086582,-0.395967307132511,0.69212914635755,0.952223787191857
"gene-VARPA_RS27230",9922.43722765207,-1.42314634544685,0.5682656143968,-2.50436822040955,0.0122670292982525,0.205268290257426
"gene-VARPA_RS23135",45656.5593537427,0.271970315672192,0.195907618440829,1.38825798525205,0.16505850103147,0.658012893436871
"gene-VARPA_RS16465",33349.3055401625,0.0983475747708945,0.192010427354005,0.512199134839554,0.608511648545023,0.927788969536002
"gene-VARPA_RS02730",278.962075076684,-0.210216744917387,0.23595092798264,-0.890934173112698,0.37296448587151,0.84830963181371
"gene-VARPA_RS22320",127.933229486518,-0.292599762547636,0.320717778118009,-0.912327854927872,0.361596155256669,0.843630998941198
"gene-VARPA_RS16255",3657.85508248051,-0.0360639766995033,0.112214787861593,-0.321383459228075,0.747919816438979,0.961534653469719
"gene-VARPA_RS29585",12138.7033161662,-0.0523482229418261,0.192774870285367,-0.271551073354813,0.785967223905053,0.968159517171019
"gene-VARPA_RS17185",994.016567612994,-1.35442736844149,1.05018760373776,-1.28970039602533,0.197154702049006,0.703665002245066
"gene-VARPA_RS23340",1605.1457166547,-0.314197705694326,0.308854410543935,-1.01730036861375,0.309010561311257,0.811647294929595
"gene-VARPA_RS12460",2314.72220278794,0.114912946134362,0.122564488456514,0.937571294764827,0.348464768938578,0.832638611246848
"gene-VARPA_RS26950",108.800540350233,0.0912167533839058,0.22447747352463,0.406351479066773,0.684484365565842,0.949639294833862
"gene-VARPA_RS10485",14906.1248549549,-0.0144885620039126,0.105861317641602,-0.136863609169917,0.891138603772888,0.987117209596131
"gene-VARPA_RS03785",3721.86345096328,0.191612456703323,0.423805355072516,0.452123727107075,0.651179851451696,0.937300824800591
"gene-VARPA_RS29760",1249.25863608971,-0.243835778869998,0.222424213340557,-1.09626454425921,0.272963020822782,0.786384140333065
"gene-VARPA_RS29635",1338.45078480599,0.149694709440363,0.108525012152294,1.37935676275526,0.167784783287502,0.660611460473144
"gene-VARPA_RS15305",1149.34009213184,0.381895003760532,0.231197290691037,1.65181435569191,0.0985724012841044,0.540391481108342
"gene-VARPA_RS24055",3941.96594892375,-0.112249219561789,0.203222738687116,-0.552345767441944,0.580711479445839,0.921155607664397
"gene-VARPA_RS27080",1184.40803374796,0.11178880156169,0.443051579223759,0.25231554700143,0.800797172042058,0.971849163004857
"gene-VARPA_RS01770",2713.99334342512,0.436414164119207,0.780762824537946,0.558958688097729,0.576189914779289,0.918280909734741
"gene-VARPA_RS03455",40.5852710878101,-0.0146111924508393,0.440176281895682,-0.0331939567209621,0.973519917306586,0.998388613649957
"gene-VARPA_RS24165",12948.7836910083,-0.2790041040771,0.252795356486006,-1.10367574766962,0.26973381963462,0.782870498086725
"gene-VARPA_RS26970",51.487380871615,0.251315307106781,0.348919435494844,0.720267435806093,0.471360350512486,0.895177298103431
"gene-VARPA_RS22675",611.546218431119,-1.23499566448384,0.488036555543672,-2.53053926074874,0.01138873384594,0.197878896161953
"gene-VARPA_RS11235",946.135646879007,0.19435148025166,0.107097784614477,1.81471055588379,0.0695684020051339,0.46824587003232
"gene-VARPA_RS11085",3694.77756024047,0.0340558846055143,0.095896358225037,0.355132199343759,0.722490555210625,0.959261529194845
"gene-VARPA_RS31615",505.137277494462,-0.172318446915183,0.235653087008231,-0.731237808521318,0.464633910106353,0.891097958954093
"gene-VARPA_RS24985",2691.58448825725,-0.23762673318751,0.158091748219705,-1.50309384179415,0.132814846623246,0.602061101062934
"gene-VARPA_RS25520",169.442112789555,-0.409015783536247,0.339367281539571,-1.20523045616157,0.228114348023854,0.731715033277793
